Qualification,Year,Pop_SH1,Pop_nSH1
No qualification,2001,1017,1263
No qualification,2013,312,405
No qualification,2018,363,402
Level 1 - 4 certificate,2001,834,1272
Level 1 - 4 certificate,2013,612,1227
Level 1 - 4 certificate,2018,1068,1572
Level 5 - 6 diploma,2001,519,1017
Level 5 - 6 diploma,2013,120,297
Level 5 - 6 diploma,2018,216,393
Level 7 or above qualification,2001,72,342
Level 7 or above qualification,2013,180,495
Level 7 or above qualification,2018,249,726
Overseas secondary school qualification,2001,84,198
Overseas secondary school qualification,2013,42,111
Overseas secondary school qualification,2018,51,93